"configuration","trace","description"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at sun.reflect.UnsafeFieldAccessorImpl.ensureObj(Unknown Source)","resetLogTest(testset.LoggerTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:trueUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at sun.reflect.UnsafeFieldAccessorImpl.ensureObj(Unknown Source)","returnLogsTest(testset.LoggerTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at sun.reflect.UnsafeFieldAccessorImpl.ensureObj(Unknown Source)","testTotalDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at sun.reflect.UnsafeFieldAccessorImpl.ensureObj(Unknown Source)","testDepositUserAuthenticatedFalse(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at sun.reflect.UnsafeFieldAccessorImpl.ensureObj(Unknown Source)","testDeposit(testset.ATMUserInterfaceTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at sun.reflect.UnsafeFieldAccessorImpl.ensureObj(Unknown Source)","resetLogTest(testset.LoggerTest)"
"LOGGING:falseDEPOSITING:falseWITHDRAWING:trueBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:trueWITHDRAWING_ALL_VALUES:true","	at sun.reflect.UnsafeFieldAccessorImpl.ensureObj(Unknown Source)","returnLogsTest(testset.LoggerTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.AccountTest.tearDown(AccountTest.java:41)","testValidPin(testset.AccountTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.AccountTest.tearDown(AccountTest.java:41)","creditTest(testset.AccountTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.AccountTest.tearDown(AccountTest.java:41)","debitTest(testset.AccountTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.AccountTest.tearDown(AccountTest.java:41)","getTotalBalanceTest(testset.AccountTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","testDisplayMainMenu(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","testsCurrentTransactionIsScreenInstance(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","getCurrentAccountNumbeTest(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","testsCurrentTransactionIsWithdrawalInstance(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","getDepositSlot(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","setUserAuthenticatedTest(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","testGetTotalDeposit(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","getScreenTest(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","authenticateUserTest(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","depositTest(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","isUserExitedTest(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","testSetCurrentTransaction(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","setUserExitedTest(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","testAuthenticateUser(testset.ATMTest)"
"LOGGING:trueDEPOSITING:trueWITHDRAWING:falseBALANCE_INQUIRY:trueADMIN_CONTROL:falseUSER_INTERFACE:falseWITHDRAWING_ALL_VALUES:false","	at testset.ATMTest.tearDown(ATMTest.java:61)","getTotalDepositTest(testset.ATMTest)"
